294,440,
587,440,
497,440,
0,440,
294,440,
587,440,
392,440,
0,440,
294,440,
440,440,
523,440,
0,440,
497,440,
440,440,
349,440,
0,440,
330,440,
349,440,
392,440,
0,440,
392,440,
440,440,
262,440,
0,440,
294,440,
330,440,
349,440,
0,440,
349,440,
392,440,
440,440,
0,440,
523,440,
497,440,
523,440,
587,440,
392,440,
0,880,
523,440,
497,440,
392,440,
0,440,
523,440,
497,440,
330,440,
0,440,
523,440,
497,440,
349,440,
0,440,
440,440,
262,440,
294,440,
0,440,
392,440,
330,440,
349,440,
392,440,
523,440,
0,440,
392,440,
349,440,
330,440,
440,440,
523,440,
0,440,
523,440,
497,440,
587,440,
698,440,
784,440,
988,440,
